Id	Name	Type	Quality	EffectGroupId	Description	WorldDesc	Icon	UnlockConditionId	Repeatable	VisionId
112	Sun Bird	4	4	40112	When switched in, characters' ATK increases by <color=#dbb536>+7%</color> for <color=#dbb536>10</color>s. Stacks up to 3 times.	A worn-out banner spear that seems to be a replica of the weapon wielded by a hero from the Mythical Age.	Assets/Product/Texture/Image/IconTools/E3LanceMd010011.png			
113	The Defector's Family Crest	4	5	40113	ATK, Max HP, Critical, DEF <color=#dbb536>+20%</color>.	A family crest owned by a defector who ran away at some point. The defector will eventually return to the sea and be buried deep under it.	Assets/Product/Texture/Image/IconTools/IconActivityRPG02.png	1004046		
114	Heavy Blade of the Executioner	4	5	40114	ATK <color=#dbb536>+30%</color>.	The heavy blade dropped after defeating the mechanoid left by an ancient civilization. It is not a weapon that anyone can wield. In the war of the Mythical Age, mechanoids were the main force on the battlefield.	Assets/Product/Texture/Image/IconTools/E2ClaymoreMd060011.png			
115	Retail Biomimetic Blood (S)	5	3	40068	Gives <color=#dbb536>3</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	A small bottle of Biomimetic Blood. It's a Shark-speare Sale exclusive retail version and can be obtained repeatedly.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png		1	
116	Retail Biomimetic Blood (M)	5	4	40069	Gives <color=#dbb536>6</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	A medium bottle of Biomimetic Blood. It's a Shark-speare Sale exclusive retail version and can be obtained repeatedly.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png		1	
117	Retail Biomimetic Blood (L)	5	5	40070	Gives <color=#dbb536>9</color> bottles of Biomimetic Blood directly (For team resurrection/stage restart).	A large bottle of Biomimetic Blood. It's a Shark-speare Sale exclusive retail version and can be obtained repeatedly.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png		1	
118	Star Core	4	5	40115	Gains <color=#dbb536>3 sets</color> of 3-Ping Orbs at the beginning of the battle.	The shard of a meteorite that fell from the fake night sky. During the Mythical Age, unsung heroes used to be drifting under the starry night, exploring the unknown possibilities in the lonely universe.	Assets/Product/Texture/Image/IconTools/IconActivityConsume2017001.png			
119	Elixir of Knowledge	6	3		Crimson Insight <color=#dbb536>+8</color>.	A forbidden elixir that deepens your connection with the world upon consumption.	Assets/Product/Texture/Image/IconTools/IconRougeItem035.png		1	1
120	Book of Answers	6	4		Crimson Insight <color=#dbb536>+12</color>.	A forbidden antique book that deepens your connection with the world upon reading.	Assets/Product/Texture/Image/IconTools/IconRougeItem036.png		1	2
121	Figurine of Transcendence	6	5		Crimson Insight <color=#dbb536>+18</color>.	A forbidden figurine that deepens your connection with the world upon possession.	Assets/Product/Texture/Image/IconTools/IconRougeItem037.png		1	3
122	Mark of Pride	7	5	40116	Switch cooldown <color=#dbb536>-50%</color>, All DMG Bonus <color=#dbb536>+30%</color> for <color=#dbb536>10</color>s after switching; <color=#d84740>deployment positions -1</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip001.png	1004045		
123	Mark of Sloth	7	5	40117	All DMG Bonus <color=#dbb536>+100%</color>; gains 1 orb per second and recovers <color=#dbb536>5%</color> HP. <color=#d84740>Cannot manually switch characters</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip002.png	1004045		
124	Mark of Greed	7	5	40118	Grants an extra random collectible chest after every battle; <color=#d84740>no longer able to acquire Tinbread Cookies</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip003.png	1004045		
125	Mark of Wrath	7	5	40119	Extra DMG Bonus <color=#dbb536>+60%</color>, max HP <color=#dbb536>+50%</color>; <color=#d84740>no longer able to acquire Biomimetic Blood</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip004.png	1004045		
126	Mark of Gluttony	7	5	40120	Recruitment Vouchers' <color=#dbb536>recruitment attempts +1</color>; <color=#d84740>cannot refresh during recruitment</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip005.png	1004045		
127	Blade of Frailty	7	4	40121	Extra DMG Bonus <color=#dbb536>+50%</color>; all <color=#d84740>enemies take +30% Extra DMG</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip006.png	1004045		
128	Blood Transfusion	7	4	40122	Every <color=#dbb536>7</color>s, randomly gains <color=#dbb536>1 set</color> of 3-Ping orbs; loses <color=#d84740>3% of max HP per second</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip007.png	1004045		
129	Power Shift	7	4	40123	Gains <color=#dbb536>3</color> Energy per second; <color=#d84740>Basic Attacks recover half as many Signal Orbs.</color>	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip008.png	1004045		
130	Immovable Fortress	7	4	40124	Extra DMG Reduction <color=#dbb536>+50%</color>; Movement Speed and Dodge Recovery Speed <color=#d84740>-50%</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip009.png	1004045		
131	Lone Wolf	7	4	40125	Extra DMG Bonus <color=#dbb536>+80%</color>; QTE and switch <color=#d84740>cooldown +50%</color>.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip010.png	1004045		
132	Fiery Red	7	3	40126	Basic Attack Extra DMG Bonus <color=#dbb536>+40%</color>; Orb Skill Extra DMG Bonus <color=#d84740>-20%</color>; collecting all three triples positive bonuses.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip011.png	1004045		
133	Serene Blue	7	3	40127	Orb Skill Extra DMG Bonus <color=#dbb536>+40%</color>; Signature Move Extra DMG Bonus <color=#d84740>-20%</color>; collecting all three triples positive bonuses.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip012.png	1004045		
134	Dark Shadow	7	3	40128	Signature Extra DMG Bonus <color=#dbb536>+40%</color>; Basic Attack Extra DMG Bonus <color=#d84740>-20%</color>; collecting all three triples positive bonuses.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip013.png	1004045		
135	Polarized First Strike	7	3	40129	Attacker and Vanguard DMG Bonus <color=#dbb536>+40%</color>; Tank DMG Bonus <color=#d84740>-20%</color>; collecting all three triples positive bonuses.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip014.png	1004045		
136	Polarized Shield	7	3	40130	Tank DMG Bonus <color=#dbb536>+40%</color>; Support and Amplifier DMG Bonus <color=#d84740>-20%</color>; collecting all three triples positive bonuses.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip015.png	1004045		
137	Polarized Backup	7	3	40131	Support and Amplifier DMG Bonus <color=#dbb536>+40%</color>; Attacker and Vanguard DMG Bonus <color=#d84740>-20%</color>; collecting all three triples positive bonuses.	An evil emblem of unknown origin, granting you power at the cost of your sanity.	Assets/Product/Texture/Image/UiInfestorExplore/TBnewEquip016.png	1004045		
138	Crimson Scroll Fragment	7	5		Lets you perceive <color=#d84740>Crimson Insight</color>.	Forbidden knowledge passed down through generations of the elusive Crimson Church. Now only fragments of it remain. Since its inception, the Crimson Church has been dedicated to studying Crimson creatures, believing they reveal the true nature of the world.	Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	1004045		5
139	Brand of Eternal Darkness	7	5		You have received the <color=#d84740>Girl's approval</color>.	A brand stamped by the Girl, carrying some form of wisdom.	Assets/Product/Texture/Image/IconTools/IconRougeItem031.png	1004045		
140	Tasty Milkshake	7	4		Can be used to attract the <color=#d84740>legendary monster</color>.	A beverage made using a secret recipe, rumored to attract a creature from myths.	Assets/Product/Texture/Image/IconTools/IconRougeItem032.png			
141	Proof of Friendship!	7	5	40141	All items in the Shark-speare Sale will be offered at a <color=#dbb536>100%</color> discount!	Given after a battle with a certain legendary creature. As they say, you don't really know someone until you fight them. A fistfight is the most profound way to understand each other.	Assets/Product/Texture/Image/IconTools/IconRougeItem033.png			
142	Church Lance Ornament	7	4	40142	ATK <color=#dbb536>+20%</color>; All Elemental DMG Bonus <color=#dbb536>+40%</color>.	An ornament that once adorned the weapons of church knights. The church knights were the pioneers who explored the world after the cataclysm, and this lance ornament symbolizes the honors they once earned.	Assets/Product/Texture/Image/IconTools/IconRougeItem034.png			
143	Brand of Eternal Light	7	5		You have become more <color=#d84740>determined to confront the Crimson</color>.	Reforged by mankind, the Brand is shining with a certain willpower.	Assets/Product/Texture/Image/IconTools/IconRougeItem039.png	1004045		
