Id	Name	BuffName[1]	BuffName[2]	DistributeTypes[1]	DistributeTypes[2]	Desc	Region	BuffIds[1]	BuffIds[2]	BuffDesc[1]	BuffDesc[2]	StageId[1]	StageId[2]	MarkId	IsAbandoned
112	Entropic Distortion	Machine Factory	Gelid Tower	1	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4001	4143	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
113	Entropic Distortion	Machine Factory	Molten Chasm	1	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4001	4161	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
114	Entropic Distortion	Machine Factory	Molten Chasm	1	10	Desperate Fight: Refresh only 1 enemy per wave	0	4001	4161	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080424	30080404	5	0
115	Entropic Distortion	Machine Factory	Molten Chasm	1	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4001	4161	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
116	Entropic Distortion	Machine Factory	Shadowed Rift	1	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4001	4175	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
117	Entropic Distortion	Machine Factory	Shadowed Rift	1	11	Desperate Fight: Refresh only 1 enemy per wave	0	4001	4175	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
118	Entropic Distortion	Machine Factory	Shadowed Rift	1	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4001	4175	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
119	Entropic Distortion	Machine Factory	Shadowed Rift	1	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4001	4175	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
120	Entropic Distortion	Laser Alloy	Gelid Tower	4	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4004	4143	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
121	Entropic Distortion	Laser Alloy	Gelid Tower	4	9	Desperate Fight: Refresh only 1 enemy per wave	0	4004	4143	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
122	Entropic Distortion	Laser Alloy	Molten Chasm	4	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4004	4161	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
123	Entropic Distortion	Laser Alloy	Shadowed Rift	4	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4004	4175	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
124	Entropic Distortion	Laser Alloy	Shadowed Rift	4	11	Desperate Fight: Refresh only 1 enemy per wave	0	4004	4175	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
125	Entropic Distortion	Laser Alloy	Shadowed Rift	4	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4004	4175	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
126	Entropic Distortion	Laser Alloy	Shadowed Rift	4	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4004	4175	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
127	Entropic Distortion	Diffraction Void	Vortex Barrier	12	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4088	4114	Every 3 waves, enemies gain Equilibrium Field.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
128	Entropic Distortion	Diffraction Void	Gelid Tower	12	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4088	4143	Every 3 waves, enemies gain Equilibrium Field.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
129	Entropic Distortion	Diffraction Void	Gelid Tower	12	9	Desperate Fight: Refresh only 1 enemy per wave	0	4088	4143	Every 3 waves, enemies gain Equilibrium Field.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
130	Entropic Distortion	Diffraction Void	Shattered Peak	12	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4088	4115	Every 3 waves, enemies gain Equilibrium Field.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080223	30080203	3	0
131	Entropic Distortion	Diffraction Void	Shattered Peak	12	8	Desperate Fight: Refresh only 1 enemy per wave	0	4088	4115	Every 3 waves, enemies gain Equilibrium Field.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080224	30080204	5	0
132	Entropic Distortion	Diffraction Void	Shattered Peak	12	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4088	4115	Every 3 waves, enemies gain Equilibrium Field.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080225	30080205	4	0
133	Entropic Distortion	Diffraction Void	Shattered Peak	12	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4088	4115	Every 3 waves, enemies gain Equilibrium Field.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080227	30080207	3	0
134	Entropic Distortion	Diffraction Void	Molten Chasm	12	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4088	4161	Every 3 waves, enemies gain Equilibrium Field.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
135	Entropic Distortion	Diffraction Void	Molten Chasm	12	10	Desperate Fight: Refresh only 1 enemy per wave	0	4088	4161	Every 3 waves, enemies gain Equilibrium Field.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080424	30080404	5	0
136	Entropic Distortion	Diffraction Void	Molten Chasm	12	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4088	4161	Every 3 waves, enemies gain Equilibrium Field.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
137	Entropic Distortion	Diffraction Void	Molten Chasm	12	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4088	4161	Every 3 waves, enemies gain Equilibrium Field.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
138	Entropic Distortion	Diffraction Void	Shadowed Rift	12	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4088	4175	Every 3 waves, enemies gain Equilibrium Field.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
139	Entropic Distortion	Diffraction Void	Shadowed Rift	12	11	Desperate Fight: Refresh only 1 enemy per wave	0	4088	4175	Every 3 waves, enemies gain Equilibrium Field.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
140	Entropic Distortion	Diffraction Void	Shadowed Rift	12	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4088	4175	Every 3 waves, enemies gain Equilibrium Field.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
141	Entropic Distortion	Diffraction Void	Shadowed Rift	12	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4088	4175	Every 3 waves, enemies gain Equilibrium Field.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
142	Entropic Distortion	Crimson Frostland	Shadowed Rift	2	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4002	4175	Ice DMG greatly increases, Glaciation DMG slightly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
143	Entropic Distortion	Crimson Frostland	Shattered Peak	2	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4002	4115	Ice DMG greatly increases, Glaciation DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080227	30080207	3	0
144	Entropic Distortion	Crimson Frostland	Vortex Barrier	2	7	Desperate Fight: Refresh only 1 enemy per wave	0	4002	4114	Ice DMG greatly increases, Glaciation DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080124	30080104	5	0
145	Entropic Distortion	Crimson Frostland	Vortex Barrier	2	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4002	4114	Ice DMG greatly increases, Glaciation DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
146	Entropic Distortion	Crimson Frostland	Vortex Barrier	2	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4002	4114	Ice DMG greatly increases, Glaciation DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
147	Entropic Distortion	Crimson Frostland	Molten Chasm	2	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4002	4161	Ice DMG greatly increases, Glaciation DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
148	Entropic Distortion	Crimson Frostland	Molten Chasm	2	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4002	4161	Ice DMG greatly increases, Glaciation DMG slightly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
149	Entropic Distortion	Vortex Barrier	Shattered Peak	7	8	Joint Operation: Refresh multiple Normal and Elite enemies	0	4114	4115	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080223	30080203	3	0
150	Entropic Distortion	Vortex Barrier	Shattered Peak	7	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4114	4115	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080225	30080205	4	0
151	Entropic Distortion	Vortex Barrier	Shattered Peak	7	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4114	4115	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080227	30080207	3	0
152	Entropic Distortion	Vortex Barrier	Gelid Tower	7	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4114	4143	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
153	Entropic Distortion	Vortex Barrier	Gelid Tower	7	9	Desperate Fight: Refresh only 1 enemy per wave	0	4114	4143	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
154	Entropic Distortion	Vortex Barrier	Gelid Tower	7	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4114	4143	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
155	Entropic Distortion	Vortex Barrier	Molten Chasm	7	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4114	4161	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
156	Entropic Distortion	Vortex Barrier	Molten Chasm	7	10	Desperate Fight: Refresh only 1 enemy per wave	0	4114	4161	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080424	30080404	5	0
157	Entropic Distortion	Vortex Barrier	Molten Chasm	7	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4114	4161	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
158	Entropic Distortion	Vortex Barrier	Molten Chasm	7	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4114	4161	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
159	Entropic Distortion	Vortex Barrier	Shadowed Rift	7	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4114	4175	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
160	Entropic Distortion	Vortex Barrier	Shadowed Rift	7	11	Desperate Fight: Refresh only 1 enemy per wave	0	4114	4175	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
161	Entropic Distortion	Vortex Barrier	Shadowed Rift	7	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4114	4175	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
162	Entropic Distortion	Vortex Barrier	Shadowed Rift	7	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4114	4175	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
163	Entropic Distortion	Gelid Tower	Vortex Barrier	9	7	Desperate Fight: Refresh only 1 enemy per wave	0	4143	4114	Ice DMG slightly increases, Glaciation DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080124	30080104	5	0
164	Entropic Distortion	Gelid Tower	Vortex Barrier	9	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4143	4114	Ice DMG slightly increases, Glaciation DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
165	Entropic Distortion	Gelid Tower	Vortex Barrier	9	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4143	4114	Ice DMG slightly increases, Glaciation DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
166	Entropic Distortion	Gelid Tower	Shadowed Rift	9	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4143	4175	Ice DMG slightly increases, Glaciation DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
167	Entropic Distortion	Gelid Tower	Shadowed Rift	9	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4143	4175	Ice DMG slightly increases, Glaciation DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
168	Entropic Distortion	Gelid Tower	Shadowed Rift	9	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4143	4175	Ice DMG slightly increases, Glaciation DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
169	Entropic Distortion	Gelid Tower	Molten Chasm	9	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4143	4161	Ice DMG slightly increases, Glaciation DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
170	Entropic Distortion	Gelid Tower	Molten Chasm	9	10	Desperate Fight: Refresh only 1 enemy per wave	0	4143	4161	Ice DMG slightly increases, Glaciation DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080424	30080404	5	0
171	Entropic Distortion	Gelid Tower	Molten Chasm	9	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4143	4161	Ice DMG slightly increases, Glaciation DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
172	Entropic Distortion	Gelid Tower	Molten Chasm	9	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4143	4161	Ice DMG slightly increases, Glaciation DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
173	Entropic Distortion	Gelid Tower	Shattered Peak	9	8	Desperate Fight: Refresh only 1 enemy per wave	0	4143	4115	Ice DMG slightly increases, Glaciation DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080224	30080204	5	0
174	Entropic Distortion	Gelid Tower	Shattered Peak	9	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4143	4115	Ice DMG slightly increases, Glaciation DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080225	30080205	4	0
175	Entropic Distortion	Gelid Tower	Shattered Peak	9	8	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4143	4115	Ice DMG slightly increases, Glaciation DMG greatly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080227	30080207	3	0
176	Entropic Distortion	Molten Chasm	Vortex Barrier	10	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4161	4114	Fire DMG slightly increases, Ignition DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
177	Entropic Distortion	Molten Chasm	Vortex Barrier	10	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4161	4114	Fire DMG slightly increases, Ignition DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
178	Entropic Distortion	Molten Chasm	Vortex Barrier	10	7	Desperate Fight: Refresh only 1 enemy per wave	0	4161	4114	Fire DMG slightly increases, Ignition DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080124	30080104	5	0
179	Entropic Distortion	Molten Chasm	Vortex Barrier	10	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4161	4114	Fire DMG slightly increases, Ignition DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080123	30080103	3	0
180	Entropic Distortion	Molten Chasm	Gelid Tower	10	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4161	4143	Fire DMG slightly increases, Ignition DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
181	Entropic Distortion	Molten Chasm	Gelid Tower	10	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4161	4143	Fire DMG slightly increases, Ignition DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080325	30080305	4	0
182	Entropic Distortion	Molten Chasm	Gelid Tower	10	9	Desperate Fight: Refresh only 1 enemy per wave	0	4161	4143	Fire DMG slightly increases, Ignition DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
183	Entropic Distortion	Molten Chasm	Gelid Tower	10	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4161	4143	Fire DMG slightly increases, Ignition DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
184	Entropic Distortion	Molten Chasm	Shadowed Rift	10	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4161	4175	Fire DMG slightly increases, Ignition DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
185	Entropic Distortion	Molten Chasm	Shadowed Rift	10	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4161	4175	Fire DMG slightly increases, Ignition DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
186	Entropic Distortion	Molten Chasm	Shadowed Rift	10	11	Desperate Fight: Refresh only 1 enemy per wave	0	4161	4175	Fire DMG slightly increases, Ignition DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
187	Entropic Distortion	Molten Chasm	Shadowed Rift	10	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4161	4175	Fire DMG slightly increases, Ignition DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
188	Entropic Distortion	Shattered Peak	Molten Chasm	8	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4115	4161	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
189	Entropic Distortion	Shattered Peak	Molten Chasm	8	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4115	4161	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
190	Entropic Distortion	Shattered Peak	Molten Chasm	8	10	Desperate Fight: Refresh only 1 enemy per wave	0	4115	4161	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080424	30080404	5	0
191	Entropic Distortion	Shattered Peak	Molten Chasm	8	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4115	4161	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
192	Entropic Distortion	Shattered Peak	Vortex Barrier	8	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4115	4114	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
193	Entropic Distortion	Shattered Peak	Vortex Barrier	8	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4115	4114	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
194	Entropic Distortion	Shattered Peak	Vortex Barrier	8	7	Desperate Fight: Refresh only 1 enemy per wave	0	4115	4114	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080124	30080104	5	0
195	Entropic Distortion	Shattered Peak	Vortex Barrier	8	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4115	4114	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080123	30080103	3	0
196	Entropic Distortion	Shattered Peak	Gelid Tower	8	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4115	4143	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
197	Entropic Distortion	Shattered Peak	Gelid Tower	8	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4115	4143	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080325	30080305	4	0
198	Entropic Distortion	Shattered Peak	Gelid Tower	8	9	Desperate Fight: Refresh only 1 enemy per wave	0	4115	4143	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080324	30080304	5	0
199	Entropic Distortion	Shattered Peak	Gelid Tower	8	9	Joint Operation: Refresh multiple Normal and Elite enemies	0	4115	4143	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080323	30080303	3	0
200	Entropic Distortion	Shattered Peak	Shadowed Rift	8	11	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4115	4175	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080527	30080507	3	0
201	Entropic Distortion	Shattered Peak	Shadowed Rift	8	11	Duo Challenge: Refresh 2 Elite enemies per wave	0	4115	4175	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080525	30080505	4	0
202	Entropic Distortion	Shattered Peak	Shadowed Rift	8	11	Desperate Fight: Refresh only 1 enemy per wave	0	4115	4175	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080524	30080504	5	0
203	Entropic Distortion	Shattered Peak	Shadowed Rift	8	11	Joint Operation: Refresh multiple Normal and Elite enemies	0	4115	4175	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	Dark DMG slightly increases, Darkflow DMG greatly increases.	30080523	30080503	3	0
204	Entropic Distortion	Shadowed Rift	Molten Chasm	11	10	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4175	4161	Dark DMG slightly increases, Darkflow DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080427	30080407	3	0
205	Entropic Distortion	Shadowed Rift	Molten Chasm	11	10	Duo Challenge: Refresh 2 Elite enemies per wave	0	4175	4161	Dark DMG slightly increases, Darkflow DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080425	30080405	4	0
206	Entropic Distortion	Shadowed Rift	Molten Chasm	11	10	Desperate Fight: Refresh only 1 enemy per wave	0	4175	4161	Dark DMG slightly increases, Darkflow DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080424	30080404	5	0
207	Entropic Distortion	Shadowed Rift	Molten Chasm	11	10	Joint Operation: Refresh multiple Normal and Elite enemies	0	4175	4161	Dark DMG slightly increases, Darkflow DMG greatly increases.	Fire DMG slightly increases, Ignition DMG greatly increases.	30080423	30080403	3	0
208	Entropic Distortion	Shadowed Rift	Vortex Barrier	11	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4175	4114	Dark DMG slightly increases, Darkflow DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
209	Entropic Distortion	Shadowed Rift	Vortex Barrier	11	7	Duo Challenge: Refresh 2 Elite enemies per wave	0	4175	4114	Dark DMG slightly increases, Darkflow DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080125	30080105	4	0
210	Entropic Distortion	Shadowed Rift	Vortex Barrier	11	7	Desperate Fight: Refresh only 1 enemy per wave	0	4175	4114	Dark DMG slightly increases, Darkflow DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080124	30080104	5	0
211	Entropic Distortion	Shadowed Rift	Vortex Barrier	11	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4175	4114	Dark DMG slightly increases, Darkflow DMG greatly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080123	30080103	3	0
212	Entropic Distortion	Shadowed Rift	Gelid Tower	11	9	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4175	4143	Dark DMG slightly increases, Darkflow DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080327	30080307	3	0
213	Entropic Distortion	Shadowed Rift	Gelid Tower	11	9	Duo Challenge: Refresh 2 Elite enemies per wave	0	4175	4143	Dark DMG slightly increases, Darkflow DMG greatly increases.	Ice DMG slightly increases, Glaciation DMG greatly increases.	30080325	30080305	4	0
