Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId
716	Juncture Breakthrough V - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 5 junctures	95586
717	Blockade Breakthrough I - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 1 Cliff Fortress	95587
718	Blockade Breakthrough I - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 1 Cliff Fortress	95588
719	Clear Cycle 1 Boss in Round 2 - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 1 Boss in Round 2	95589
720	Clear Cycle 2 Boss in Round 2 - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 2 Boss in Round 2	95590
721	Clear Cycle 3 Boss in Round 2 - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 3 Boss in Round 2	95591
722	Clear Cycle 4 Boss in Round 2 - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 4 Boss in Round 2	95592
723	Clear Cycle 5 Boss in Round 2 - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 5 Boss in Round 2	95593
724	Clear Cycle 1 Boss in Round 3 - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 1 Boss in Round 3	95594
725	Clear Cycle 2 Boss in Round 3 - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 2 Boss in Round 3	95595
726	Clear Cycle 3 Boss in Round 3 - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 3 Boss in Round 3	95596
727	Clear Cycle 4 Boss in Round 3 - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 4 Boss in Round 3	95597
728	Clear Cycle 5 Boss in Round 3 - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear Cycle 5 Boss in Round 3	95598
729	Expedition Garrison I	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Garrison 1 node	95599
730	Expedition Garrison II	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Garrison 4 nodes	95600
731	Expedition Garrison III	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Garrison 12 nodes	95601
732	Guild Expedition I	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear an expedition stage of Flat difficulty or above	95602
733	Guild Expedition II	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear an expedition stage of Dangerous difficulty or above	95603
734	Guild Expedition III	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear an expedition stage of Rugged difficulty or above	95604
735	Expedition Ranking I	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Enters the top 30% in the Command Bureau at the end of the event	95605
736	Expedition Ranking II	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Enters the top 20% in the Command Bureau at the end of the event	95606
737	Expedition Ranking III	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Enters the top 10% in the Command Bureau at the end of the event	95607
738	Expedition Ranking IV	1	1		Assets/Product/Texture/Image/IconTask/TaskIconCommon.png		Enters the top 5% in the Command Bureau at the end of the event	95608
